=== V3 EXPLICIT-NEIGHBOURS FORMAL BENCHMARK ===
raw_file=results/v3_explicit_neighbours/raw-562448.csv
environment_file=results/v3_explicit_neighbours/environment-562448.txt
timestamp,version,source_commit,tag,evidence_commit,grid_width,grid_height,generations,density,seed,run_number,elapsed_seconds,live_cells,checksum,hostname,job_id,compiler,compiler_version,compiler_flags
2026-08-21T01:17:10+10:00,v3_explicit_neighbours,60ebf199d20f8ffacee92b49b50ae85c76f1e6ef,v3_explicit_neighbours,11d14936bd2e34a1d602501bf6eadb8ea5011c18,512,512,800,35,12345,1,1.00990883,12555,15060713646708581250,a100-0,562448,g++,8.5.0,-std=c++17 -Wall -Wextra -Wpedantic -Wconversion -Wshadow -O3 -DNDEBUG
2026-08-21T01:17:11+10:00,v3_explicit_neighbours,60ebf199d20f8ffacee92b49b50ae85c76f1e6ef,v3_explicit_neighbours,11d14936bd2e34a1d602501bf6eadb8ea5011c18,512,512,800,35,12345,2,1.01195481,12555,15060713646708581250,a100-0,562448,g++,8.5.0,-std=c++17 -Wall -Wextra -Wpedantic -Wconversion -Wshadow -O3 -DNDEBUG
2026-08-21T01:17:12+10:00,v3_explicit_neighbours,60ebf199d20f8ffacee92b49b50ae85c76f1e6ef,v3_explicit_neighbours,11d14936bd2e34a1d602501bf6eadb8ea5011c18,512,512,800,35,12345,3,1.01059895,12555,15060713646708581250,a100-0,562448,g++,8.5.0,-std=c++17 -Wall -Wextra -Wpedantic -Wconversion -Wshadow -O3 -DNDEBUG
2026-08-21T01:17:13+10:00,v3_explicit_neighbours,60ebf199d20f8ffacee92b49b50ae85c76f1e6ef,v3_explicit_neighbours,11d14936bd2e34a1d602501bf6eadb8ea5011c18,512,512,800,35,12345,4,1.02080124,12555,15060713646708581250,a100-0,562448,g++,8.5.0,-std=c++17 -Wall -Wextra -Wpedantic -Wconversion -Wshadow -O3 -DNDEBUG
2026-08-21T01:17:14+10:00,v3_explicit_neighbours,60ebf199d20f8ffacee92b49b50ae85c76f1e6ef,v3_explicit_neighbours,11d14936bd2e34a1d602501bf6eadb8ea5011c18,512,512,800,35,12345,5,1.00986783,12555,15060713646708581250,a100-0,562448,g++,8.5.0,-std=c++17 -Wall -Wextra -Wpedantic -Wconversion -Wshadow -O3 -DNDEBUG
2026-08-21T01:17:18+10:00,v3_explicit_neighbours,60ebf199d20f8ffacee92b49b50ae85c76f1e6ef,v3_explicit_neighbours,11d14936bd2e34a1d602501bf6eadb8ea5011c18,1024,1024,800,35,12345,1,4.00463021,46221,5618886287333370134,a100-0,562448,g++,8.5.0,-std=c++17 -Wall -Wextra -Wpedantic -Wconversion -Wshadow -O3 -DNDEBUG
2026-08-21T01:17:22+10:00,v3_explicit_neighbours,60ebf199d20f8ffacee92b49b50ae85c76f1e6ef,v3_explicit_neighbours,11d14936bd2e34a1d602501bf6eadb8ea5011c18,1024,1024,800,35,12345,2,4.00282011,46221,5618886287333370134,a100-0,562448,g++,8.5.0,-std=c++17 -Wall -Wextra -Wpedantic -Wconversion -Wshadow -O3 -DNDEBUG
2026-08-21T01:17:26+10:00,v3_explicit_neighbours,60ebf199d20f8ffacee92b49b50ae85c76f1e6ef,v3_explicit_neighbours,11d14936bd2e34a1d602501bf6eadb8ea5011c18,1024,1024,800,35,12345,3,3.99636076,46221,5618886287333370134,a100-0,562448,g++,8.5.0,-std=c++17 -Wall -Wextra -Wpedantic -Wconversion -Wshadow -O3 -DNDEBUG
2026-08-21T01:17:30+10:00,v3_explicit_neighbours,60ebf199d20f8ffacee92b49b50ae85c76f1e6ef,v3_explicit_neighbours,11d14936bd2e34a1d602501bf6eadb8ea5011c18,1024,1024,800,35,12345,4,3.99909455,46221,5618886287333370134,a100-0,562448,g++,8.5.0,-std=c++17 -Wall -Wextra -Wpedantic -Wconversion -Wshadow -O3 -DNDEBUG
2026-08-21T01:17:34+10:00,v3_explicit_neighbours,60ebf199d20f8ffacee92b49b50ae85c76f1e6ef,v3_explicit_neighbours,11d14936bd2e34a1d602501bf6eadb8ea5011c18,1024,1024,800,35,12345,5,4.00804225,46221,5618886287333370134,a100-0,562448,g++,8.5.0,-std=c++17 -Wall -Wextra -Wpedantic -Wconversion -Wshadow -O3 -DNDEBUG
